"first_name","last_name","full_name","title","company_name","company_domain","linkedin_url","email (if found)","seniority","source (blitz/clay/both)"
"Amanda","Collins","Amanda Collins","Executive Assistant to CEO","Firstup","firstup.io","https://www.linkedin.com/in/amanda-collins-525ba527","","CXO","blitz"
"Craig","Steele","Craig Steele","Chief Revenue Officer (CRO)","Firstup","firstup.io","https://www.linkedin.com/in/craig-steele-542a09","","CXO","blitz"
"Jeff","Massamillo","Jeff Massamillo","VP Demand Generation and Digital Marketing","Firstup","firstup.io","https://www.linkedin.com/in/jeffmassamillo","","VP","blitz"
"Todd","Stout","Todd Stout","Founder & CEO","FirstWatch","firstwatch.net","https://www.linkedin.com/in/toddstout-fw","","CXO","blitz"
"Shubham","Choudhary","Shubham Choudhary","Co-Founder and CTO","FirstWork (YC S24)","firstwork.com","https://www.linkedin.com/in/shubhamtech","","CXO","blitz"
"Vardhan","Kapoor","Vardhan Kapoor","CEO & Co-Founder","FirstWork (YC S24)","firstwork.com","https://www.linkedin.com/in/vardhan-kapoor","","CXO","blitz"
"Tim","Hwang","Tim Hwang","Founder, Executive Chairman","FiscalNote","fiscalnote.com","https://www.linkedin.com/in/timthwang","","CXO","blitz"
"David","Griffiths","David Griffiths","CEO & Director of Customer Growth","FISCAL Technologies","fiscaltec.com","https://www.linkedin.com/in/davidlgriffiths","","CXO","blitz"
"John David","King","John David King","Senior VP of Sales and Marketing for Fishbowl","Fishbowl","fishbowlinventory.com","https://www.linkedin.com/in/john-david-king-2937b74","","VP","blitz"
"Serge","Selezen","Serge Selezen","Co-CEO & Partner","Fishbox","fishboxapp.com","https://www.linkedin.com/in/serguey","","CXO","blitz"
"John","Calagaz","John Calagaz","Founder","Fishing Chaos, Inc","fishingchaos.com","https://www.linkedin.com/in/johncalagaz","","CXO","blitz"
"Patrick","Huynh","Patrick Huynh","CEO","Fiska","fiska.com","https://www.linkedin.com/in/huynhpatrick","","CXO","blitz"
"Phoebe","Gormley","Phoebe Gormley","Founder","Maeve AI","fitcollective.io","https://www.linkedin.com/in/phoebegormley","","CXO","blitz"
"Philip-Moritz","Russmeyer","Philip-Moritz Russmeyer","Founder and CEO","FITFILE","fitfile.com","https://www.linkedin.com/in/philiprussmeyer","","CXO","blitz"
"J.P.","Brooks","J.P. Brooks","Chief Revenue Officer (CRO)","Fitment Group","fitmentgroup.com","https://www.linkedin.com/in/jpfitmentgroup","","CXO","blitz"
"Laila","Zemrani","Laila Zemrani","Co-founder and CEO","Fitnescity Health","fitnescity.com","https://www.linkedin.com/in/lailazemrani","","CXO","blitz"
"Eric","Nilsson","Eric Nilsson","CEO","Fivos","fivoshealth.com","https://www.linkedin.com/in/ericnilsson","","CXO","blitz"
"Zach","Koch","Zach Koch","Founder, CEO","Ultravox.ai","fixie.ai","https://www.linkedin.com/in/zachkoch","","CXO","blitz"
"Tim","Barsness","Tim Barsness","Founder / CEO","fjorge","fjorge.com","https://www.linkedin.com/in/timbarsness","","CXO","blitz"
"Dheeraj","Kulshrestha","Dheeraj Kulshrestha","President & CEO","Flairsoft","flairsoft.net","https://www.linkedin.com/in/dheeraj-kulshrestha-3a0409","","CXO","blitz"
"Abhilasha","Juneja","Abhilasha Juneja","Founder & CEO","FlairX","flairx.ai","https://www.linkedin.com/in/abhilashajuneja","","CXO","blitz"
"Alex","Alenberg","Alex Alenberg","Co-Founder & CEO","Flatpeak","flatpeak.com","https://www.linkedin.com/in/alexalenberg","","CXO","blitz"
"Matt","Roderick","Matt Roderick","Co-Founder & COO","Flatpeak","flatpeak.com","https://www.linkedin.com/in/matroderick","","CXO","blitz"
"Tom","Hibbard","Tom Hibbard","Co-founder & Head of Sales","Flatpeak","flatpeak.com","https://www.linkedin.com/in/tom-hibbard","","CXO","blitz"
"Amit","Kapur","Amit Kapur","Co-CEO / Board Member","Flawless","flawlessai.com","https://www.linkedin.com/in/kapur","","CXO","blitz"
"Nick","Lynes","Nick Lynes","Co-Founder & Co-CEO","Flawless","flawlessai.com","https://www.linkedin.com/in/responsible-ai","","CXO","blitz"
"Ren Lu","You","Ren Lu You","CEO","Frontline Data Solutions","fldata.com","https://www.linkedin.com/in/renluyou","","CXO","blitz"
"Bo","LEI","Bo LEI","Co-Founder","Fleak","fleak.ai","https://www.linkedin.com/in/bolei1007","","CXO","blitz"
"Yichen","Jin","Yichen Jin","CEO & Co-Founder","Fleak","fleak.ai","https://www.linkedin.com/in/yichen-j","","CXO","blitz"
"Vladimir","Babiy","Vladimir Babiy","Co-Founder","Fleet Chaser","fleetchaser.com","https://www.linkedin.com/in/vladimir-babiy-9063201a6","","CXO","blitz"
"Jeff","Curran","Jeff Curran","President & Founder","Fleet Cost & Care","fleetcostcare.com","https://www.linkedin.com/in/jeff-curran-1276b413","","CXO","blitz"
"Alex","Mitchell","Alex Mitchell","Contributor, CRO, CCO, Head of Growth 🧑‍🚀☁️🤝","Fleet Device Management","fleetdm.com","https://www.linkedin.com/in/alexandercmitchell","","CXO","blitz"
"Dale","Hanna","Dale Hanna","CEO","Foresight Intelligence® & Fleet Intelligence™","fleetintelligence.ai","https://www.linkedin.com/in/dalehanna","","CXO","blitz"
"Tony","Summerville","Tony Summerville","Founder & Executive Chairman","Fleetio","fleetio.com","https://www.linkedin.com/in/tonysummerville","","CXO","blitz"
"Ben","Nachbaur","Ben Nachbaur","Chief Revenue Officer (CRO)","Fleetio","fleetio.com","https://www.linkedin.com/in/bennachbaur","","CXO","blitz"
"Olga","Kazakova","Olga Kazakova","VP of Product Marketing","Fleetio","fleetio.com","https://www.linkedin.com/in/okazakova","","VP","blitz"
"Jake","Kuehner","Jake Kuehner","Co-Founder","Fleetrock","fleetrock.com","https://www.linkedin.com/in/jake-kuehner-68603a2a","","CXO","blitz"
"Tom","Fogarty","Tom Fogarty","CEO at Fleetworthy","Fleetworthy","fleetworthy.com","https://www.linkedin.com/in/tomfogarty","","CXO","blitz"
"Dillon","Twombly","Dillon Twombly","Chief Revenue Officer (CRO)","Fleetworthy","fleetworthy.com","https://www.linkedin.com/in/dillontwombly","","CXO","blitz"
"Kris","Bjorlin","Kris Bjorlin","VP of Sales","Fleetworthy","fleetworthy.com","https://www.linkedin.com/in/krisbjorlin","","VP","blitz"
"Aseem","Anand","Aseem Anand","CEO & Co-Founder","Flentis Corporation","flentis.com","https://www.linkedin.com/in/aseem-anand-ceo-vms","","CXO","blitz"
"Grant","Wernick","Grant Wernick","CEO & Founder","Fletch (Acquired by F5)","fletch.ai","https://www.linkedin.com/in/grantwernick","","CXO","blitz"
"Dan","Goerdt","Dan Goerdt","CEO","Flexagon","flexagon.com","https://www.linkedin.com/in/dan-goerdt","","CXO","blitz"
"Vera","YANG","Vera YANG","Co-Founder and President","Flexcompute","flexcompute.com","https://www.linkedin.com/in/vera-yang-54767959","","CXO","blitz"
"Zongfu","Yu","Zongfu Yu","Co-Founder & Chairman","Flexcompute","flexcompute.com","https://www.linkedin.com/in/zongfuyu","","CXO","blitz"
"Justin","Raymond","Justin Raymond","Founder & CEO","Flexday","flexday.com","https://www.linkedin.com/in/justinraymond1970","","CXO","blitz"
"Himachandra","C.","Himachandra C.","Co-Founder and Managing Partner","Flexday AI","flexdaysolutions.com","https://www.linkedin.com/in/himachebrolu","","CXO","blitz"
"Sujit","G.","Sujit G.","Founder & Managing Partner","Flexday AI","flexdaysolutions.com","https://www.linkedin.com/in/sujitgoswami","","CXO","blitz"
"Franklin","Marcelo","Franklin Marcelo","CEO","Flexi.cx","flexi.cx","https://www.linkedin.com/in/franklinmarcelo","","CXO","blitz"
"Wayne","Ortner","Wayne Ortner","VP of Sales","FlexiBake Ltd.","flexibake.com","https://www.linkedin.com/in/waynejortner","","VP","blitz"
"Kerem","Tiryakioglu","Kerem Tiryakioglu","Founder and CEO","flexigo","flexigo.com","https://www.linkedin.com/in/kerem-tiryakioglu","","CXO","blitz"
"Sarah","Ruggless","Sarah Ruggless","Chief Executive Officer","Flexion Inc.","flexion.us","https://www.linkedin.com/in/sarahruggless","","CXO","blitz"
"Max","Kryvoshlyk","Max Kryvoshlyk","CEO & Owner, Software Development Consultant","FlexMade","flexmade.com","https://www.linkedin.com/in/maxkryvoshlyk","","CXO","blitz"
"Robert","Mazer","Robert Mazer","Co-Founder","FLEXNODE","flexnode.io","https://www.linkedin.com/in/robert-mazer-a6446811","","CXO","blitz"
"Oleg","Klimov","Oleg Klimov","Founder","Flexus Team","flexus.team","https://www.linkedin.com/in/oleg-klimov","","CXO","blitz"
"Fabricio","Miranda","Fabricio Miranda","CEO & Co-Founder","Flieber","flieber.com","https://www.linkedin.com/in/fabriciomiranda","","CXO","blitz"
"Juan Cruz","Garzón","Juan Cruz Garzón","COO & Co-Founder","Fligoo","fligoo.com","https://www.linkedin.com/in/juancruzgarzon","","CXO","blitz"
"Lucas","Olmedo","Lucas Olmedo","CEO","Fligoo","fligoo.com","https://www.linkedin.com/in/lucas-olmedo-57365142","","CXO","blitz"
"Jeff","Allen","Jeff Allen","CEO / Product Director","Flikforge","flikforge.com","https://www.linkedin.com/in/vcjeffallen","","CXO","blitz"
"Ravi Krishna Reddy","Seerapu Koti Venkata","Ravi Krishna Reddy Seerapu Koti Venkata","Founder & Chief Executive Officer","FlintLab Inc.","flintlab.io","https://www.linkedin.com/in/krishna-seerapu","","CXO","blitz"
"Ray","Newal","Ray Newal","Co-Founder, CEO","FlintRock Inc.","flintrock.co","https://www.linkedin.com/in/newal","","CXO","blitz"
"Brian","Schiff","Brian Schiff","Co-Founder, CEO","Flip","flipcx.com","https://www.linkedin.com/in/bschiff","","CXO","blitz"
"Sam","Krut","Sam Krut","Co-Founder & President","Flip","flipcx.com","https://www.linkedin.com/in/sam-krut","","CXO","blitz"
"Tyler","Ferrier","Tyler Ferrier","VP of Sales","Flip","flipcx.com","https://www.linkedin.com/in/tylerferrier","","VP","blitz"
"Marty","Meadows","Marty Meadows","Co-Founder/ Chief Revenue Officer","FliteHouse","flitehouse.com","https://www.linkedin.com/in/marty-meadows-2738528","","CXO","blitz"
"Jimmy","Padia","Jimmy Padia","Founder & CEO","Floatbot.AI","floatbot.ai","https://www.linkedin.com/in/jimmypadia","","CXO","blitz"
"Karl","Mielnicki","Karl Mielnicki","Co-Founder • CTO • Lead Architect","Flobotics","flobotics.io","https://www.linkedin.com/in/karl-mielnicki-3004b791","","CXO","blitz"
"Shaan","H.","Shaan H.","Founder/CEO","Flockjay","flockjay.com","https://www.linkedin.com/in/hathiramani","","CXO","blitz"
"Matthew","Warner","Matthew Warner","Founder & CEO","Flocknote","flocknote.com","https://www.linkedin.com/in/matthewfwarner","","CXO","blitz"
"Malavika","Reddy","Malavika Reddy","Co-founder & Chief Technology Officer","Lumesa","flockshop.ai","https://www.linkedin.com/in/malavikareddy","","CXO","blitz"
"Manvitha","Mallela","Manvitha Mallela","Co-Founder & CEO","Lumesa","flockshop.ai","https://www.linkedin.com/in/manvitha-mallela-9a699884","","CXO","blitz"
"Martha","B.","Martha B.","Co-founder & Executive Chair","Flodesk","flodesk.com","https://www.linkedin.com/in/marthabitar","","CXO","blitz"
"Jason","M.","Jason M.","VP of Sales","Floify","floify.com","https://www.linkedin.com/in/jason-m-17129144","","VP","blitz"
"Shivam","M.","Shivam M.","CEO/Co-founder","Floqer","floqer.com","https://www.linkedin.com/in/shivammahajan1","","CXO","blitz"
"Sean","Huang, MMIE","Sean Huang, MMIE","Head of Growth","Floqer","floqer.com","https://www.linkedin.com/in/sean-huang","","Director","blitz"
"Gonzalo","de los Rios","Gonzalo de los Rios","Founder and CEO","Floras - Reward the Earth","floras.io","https://www.linkedin.com/in/gonzalo-de-los-rios-a8a9","","CXO","blitz"
"Katherine","Allen 👋","Katherine Allen 👋","Founder/CEO","Flo Recruit","florecruit.com","https://www.linkedin.com/in/katherine-allen-flo","","CXO","blitz"
"Ryan","Jones","Ryan Jones","Co-Founder and CEO","Florence Healthcare","florencehc.com","https://www.linkedin.com/in/adventurejones","","CXO","blitz"
"Andres","Garcia","Andres Garcia","Co-founder and CTO","Florence Healthcare","florencehc.com","https://www.linkedin.com/in/agarcian","","CXO","blitz"
"Gia","Ganesh, MIS, MBA, SHRM-CP","Gia Ganesh, MIS, MBA, SHRM-CP","Senior Vice President, People & Culture ( Head of HR, reporting to CEO)","Florence Healthcare","florencehc.com","https://www.linkedin.com/in/giaganesh","","CXO","blitz"
"Rian","Mc Donnell","Rian Mc Donnell","Founder and CEO","FloVision Solutions","flovisionsolutions.com","https://www.linkedin.com/in/rianmcdonnell","","CXO","blitz"
"Rafael","De Marco","Rafael De Marco","Co-founder & Senior Mobile Engineer","FlowLabs","flow-labs.io","https://www.linkedin.com/in/rafael-de-marco-41b39a175","","CXO","blitz"
"Graeme","Welton","Graeme Welton","Co-Founder, CEO","Flow Software Inc.","flow-software.com","https://www.linkedin.com/in/graemewelton","","CXO","blitz"
"William","Hinsche 豐寧","William Hinsche 豐寧","CEO","Flow","flowai.tech","https://www.linkedin.com/in/william-hinsche","","CXO","blitz"
"Erling","Linde","Erling Linde","Founder, CEO","Flowcase","flowcase.com","https://www.linkedin.com/in/erlingwl","","CXO","blitz"
"Miles","DePaul","Miles DePaul","VP Marketing","Flowcase","flowcase.com","https://www.linkedin.com/in/milesdepaul","","VP","blitz"
"Chris","Baden","Chris Baden","Co-Founder / CEO","FlowChat","flowchat.com","https://www.linkedin.com/in/thechrisbaden","","CXO","blitz"
"Sean","Malone","Sean Malone","Co-Founder, CMO","FlowChat","flowchat.com","https://www.linkedin.com/in/theseanmalone","","CXO","blitz"
"Pari","Singh","Pari Singh","Founder & CEO","Flow Engineering","flowengineering.com","https://www.linkedin.com/in/parisingh","","CXO","blitz"
"Reza","Salour","Reza Salour","Co-Founder","FlowGenAI","flowgenai.com","https://www.linkedin.com/in/reza-salour-52b7a96","","CXO","blitz"
"Kyle","Sherman","Kyle Sherman","Founder, Chairman & CEO","Flowhub","flowhub.com","https://www.linkedin.com/in/kylesherman","","CXO","blitz"
"Annie","Fleshman","Annie Fleshman","VP of Marketing","Flowhub","flowhub.com","https://www.linkedin.com/in/afleshman","","VP","blitz"
"Royce","Luque","Royce Luque","VP of Sales","Flowhub","flowhub.com","https://www.linkedin.com/in/royce-luque-5bb45553","","VP","blitz"
"Erdem","Gelal","Erdem Gelal","Co-Founder & CEO","Flowla","flowla.com","https://www.linkedin.com/in/erdemgelal","","CXO","blitz"
"Jatish","Patel","Jatish Patel","CEO & Founder","Flow Labs","flowlabs.ai","https://www.linkedin.com/in/jatish-patel","","CXO","blitz"
"Alicia","Navarro","Alicia Navarro","CEO & Founder","FLOWN","flown.com","https://www.linkedin.com/in/alicianavarro","","CXO","blitz"
"Jerad","Stack","Jerad Stack","CEO and Co-Founder","Flowstate Solutions","flowstatesolutions.ai","https://www.linkedin.com/in/jeradstack","","CXO","blitz"
"Peter","Bowman","Peter Bowman","Co-Founder & CEO","Flueid","flueid.com","https://www.linkedin.com/in/petercbowman","","CXO","blitz"
"Ena","Zheng","Ena Zheng","Co-Founder, COO","Fluxon","fluxon.com","https://www.linkedin.com/in/enazheng","","CXO","blitz"
"Erad","F.","Erad F.","Co-Founder, CEO","Fluxon","fluxon.com","https://www.linkedin.com/in/eradf","","CXO","blitz"
"AJ","Ross","AJ Ross","Co-Founder & Software Engineer","Fluxon","fluxon.com","https://www.linkedin.com/in/lasersox","","CXO","blitz"
"Ashley","Boyer","Ashley Boyer","Chief Revenue Officer (CRO)","Fluxx","fluxx.io","https://www.linkedin.com/in/ashleykboyer","","CXO","blitz"
"Denis","Timonin","Denis Timonin","CEO & Founder","FlyMy.AI","flymy.ai","https://www.linkedin.com/in/denistimonin","","CXO","blitz"
"Nitin","Gupta","Nitin Gupta","Founder and CEO","FlytBase","flytbase.com","https://www.linkedin.com/in/nitin7gupta","","CXO","blitz"
"Grant","Gordon","Grant Gordon","CEO","Flyte Golf","flytegolf.ai","https://www.linkedin.com/in/grantgordon","","CXO","blitz"
"Giuseppe","Sannella","Giuseppe Sannella","VP Sales","Flywheel Technologies","flywheel.com","https://www.linkedin.com/in/jsannella","","VP","blitz"
"Hooman","Hakami","Hooman Hakami","Chairman and CEO","Flywheel.io","flywheel.io","https://www.linkedin.com/in/hooman-hakami-99046131","","CXO","blitz"
"Sean","O'Neill","Sean O'Neill","Head of Growth","Financial Management Software, Inc. (FMSI)","fmsi.com","https://www.linkedin.com/in/sean-m-oneill","","Director","blitz"
"Brook","Schaaf","Brook Schaaf","CEO","FMTC","fmtc.co","https://www.linkedin.com/in/brookschaaf","","CXO","blitz"
"Kimmo","Soramäki","Kimmo Soramäki","Founder and CEO","FNA","fna.fi","https://www.linkedin.com/in/soramaki","","CXO","blitz"
"Perla","Gámez","Perla Gámez","Founder & CEO","foam","foam.ai","https://www.linkedin.com/in/perla-gamez","","CXO","blitz"
"Adithya","Buddhavarapu","Adithya Buddhavarapu","Founder & CEO/CTO","FocalCXM","focalcxm.com","https://www.linkedin.com/in/theoracle","","CXO","blitz"
"Chenyun","D.","Chenyun D.","Co-Founder & Head of Product","FocusAI","focusai.com","https://www.linkedin.com/in/chenyundai","","CXO","blitz"
"Peter","Zhu","Peter Zhu","CEO/Founder","FocusKPI, Inc.","focuskpi.com","https://www.linkedin.com/in/peterzhu1","","CXO","blitz"
"Kevin","Donovan","Kevin Donovan","Chief Revenue Officer (CRO)","Foley","foley.io","https://www.linkedin.com/in/kevinpatrickdonovan","","CXO","blitz"
"Ravi","Bhatt","Ravi Bhatt","Founder & CEO","Folia","folia.com","https://www.linkedin.com/in/ravibhatt","","CXO","blitz"
"Erick","Vargas ⚡️","Erick Vargas ⚡️","Co-Founder","Followup CRM","followupcrm.com","https://www.linkedin.com/in/erickmvargas","","CXO","blitz"
"David","Brutman","David Brutman","Co-founder & Chief Product Officer","Folloze","folloze.com","https://www.linkedin.com/in/brutman","","CXO","blitz"
"Etai","Beck","Etai Beck","CEO & Co-founder","Folloze","folloze.com","https://www.linkedin.com/in/etaibeck","","CXO","blitz"
"Paul","Lundy","Paul Lundy","Co- Founder & President","Fonteva","fonteva.com","https://www.linkedin.com/in/paullundyjr","","CXO","blitz"
"Roger","McCracken","Roger McCracken","CEO & Co-Founder","Foods Connected","foodsconnected.com","https://www.linkedin.com/in/roger-mccracken-2b30745","","CXO","blitz"
"Carleen","Hughes","Carleen Hughes","VP Marketing","Foods Connected","foodsconnected.com","https://www.linkedin.com/in/carleenhughes","","VP","blitz"
"Gregg A.","Morton, Jr.","Gregg A. Morton, Jr.","Founder & CEO","Fooji","fooji.com","https://www.linkedin.com/in/greggmortonjr","","CXO","blitz"
"Peter","Friis","Peter Friis","Co-Founder","Forager","forager.ai","https://www.linkedin.com/in/pkfriis","","CXO","blitz"
"Andre","McGregor","Andre McGregor","CEO and Founder","ForceMetrics","forcemetrics.ai","https://www.linkedin.com/in/andremcgregor","","CXO","blitz"
"Jason","Truppi","Jason Truppi","Co-Founder","ForceMetrics","forcemetrics.ai","https://www.linkedin.com/in/jasontruppi","","CXO","blitz"
"Josh","Schwartz","Josh Schwartz","Co-Founder and CEO","FORDEFI","fordefi.com","https://www.linkedin.com/in/josh-schwartz-9339654","","CXO","blitz"
"Seema","Phull","Seema Phull","Founder and CEO","ForeOptics","foreoptics.com","https://www.linkedin.com/in/seemaphull","","CXO","blitz"
"Zachary","Murray","Zachary Murray","Founder","Foreplay.co","foreplay.co","https://www.linkedin.com/in/zachary-murray","","CXO","blitz"
"Jonathan","Flam","Jonathan Flam","CFO and Co-Founder","ForeSee Medical, Inc","foreseemed.com","https://www.linkedin.com/in/jonathan-flam-81b9a132","","CXO","blitz"
"Jason","Miller","Jason Miller","Founder & CEO","Foresight","foresight.ai","https://www.linkedin.com/in/jason-mk-miller","","CXO","blitz"
"Igor","Shifrin","Igor Shifrin","CEO & Co-Founder","Foresight","foresight.works","https://www.linkedin.com/in/igor-shifrin-9331864","","CXO","blitz"
"Matthew","W.","Matthew W.","Founder","Forest-PKG","forest-pkg.com","https://www.linkedin.com/in/matthew-wright-specright","","CXO","blitz"
"Alex","Miller","Alex Miller","CEO and Founder","Forestreet","forestreet.com","https://www.linkedin.com/in/alexander-miller","","CXO","blitz"
"Dalton","Haughey","Dalton Haughey","VP of Sales","Forethought","forethought.ai","https://www.linkedin.com/in/dalton-haughey-60b14239","","VP","blitz"
"Fenil","Shah","Fenil Shah","Founder","Faceecho.ai","foreverbeauty.app","https://www.linkedin.com/in/fenil-shah-6022022","","CXO","blitz"
"Nick","Naczinski","Nick Naczinski","Co-founder / President","Forkable","forkable.com","https://www.linkedin.com/in/nick-naczinski-6944264a","","CXO","blitz"
"Ali","Moosani","Ali Moosani","CEO","FORM","form.com","https://www.linkedin.com/in/alimoosani","","CXO","blitz"
"Kalliopi","Vlastos","Kalliopi Vlastos","VP of Sales","FORM","form.com","https://www.linkedin.com/in/kalliopivlastos","","VP","blitz"
"Rifka","Bernstein Dinesman","Rifka Bernstein Dinesman","VP Sales, Americas","FORM","form.com","https://www.linkedin.com/in/rifkabernstein","","VP","blitz"
"Nabeil","Alazzam","Nabeil Alazzam","Founder and CEO","Forma.ai","forma.ai","https://www.linkedin.com/in/nabeilalazzam","","CXO","blitz"
"Mike","Roberts","Mike Roberts","VP of Marketing","Forma.ai","forma.ai","https://www.linkedin.com/in/mikeroberts23","","VP","blitz"
"Farokh","Shahabi","Farokh Shahabi","Co-Founder & CEO","Formaloo","formaloo.com","https://www.linkedin.com/in/farokhshahabi","","CXO","blitz"
"Noosh","Baratpour","Noosh Baratpour","Co-Founder and CMO","Formaloo","formaloo.com","https://www.linkedin.com/in/noosh-baratpour","","CXO","blitz"
"Hasan","Noori","Hasan Noori","Co-Founder and CTO","Formaloo","formaloo.com","https://www.linkedin.com/in/xishma","","CXO","blitz"
"Anne-Sybille","Pradelles","Anne-Sybille Pradelles","Co-founder, CEO","Formance","formance.com","https://www.linkedin.com/in/anne-sybille-pradelles-25b1bb104","","CXO","blitz"
"Jeff","Linnell","Jeff Linnell","Founder","Formant","formant.io","https://www.linkedin.com/in/jeff-linnell-065647ab","","CXO","blitz"
"Alex","Horne","Alex Horne","Founder","Formation Games","formation.games","https://www.linkedin.com/in/alexjhorne","","CXO","blitz"
"Jake","Young","Jake Young","CEO & Founder","FormDoctor","formdr.com","https://www.linkedin.com/in/rjakeyoung","","CXO","blitz"
"Duncan","Fairley","Duncan Fairley","Co-Founder","Form Factory","formfactory.dev","https://www.linkedin.com/in/dfairley","","CXO","blitz"
"Brent","Chandler 🙏","Brent Chandler 🙏","Founder & CEO","FormFree®","formfree.com","https://www.linkedin.com/in/brentfree","","CXO","blitz"
"Bill","Conners","Bill Conners","CEO","ForMotiv","formotiv.com","https://www.linkedin.com/in/billconners","","CXO","blitz"
"Mike","Mayock","Mike Mayock","Co-Founder Chief Customer Officer","ForMotiv","formotiv.com","https://www.linkedin.com/in/mike-mayock-ba7b1578","","CXO","blitz"
"Woody","Klemmer","Woody Klemmer","Head of Growth","ForMotiv","formotiv.com","https://www.linkedin.com/in/woodyklemmer","","Director","blitz"
"Michael","H","Michael H","VP of Sales","Forms Logic","formslogic.com","https://www.linkedin.com/in/hickmanmike","","VP","blitz"
"Glenn","Powell","Glenn Powell","Founder and CEO","FormusPro","formuspro.com","https://www.linkedin.com/in/glenn-powell-formuspro","","CXO","blitz"
"Mark","Dunster","Mark Dunster","EMEA Commercial Head (VP Sales EMEA)","Forsta","forsta.com","https://www.linkedin.com/in/mark-dunster-148134a","","VP","blitz"
"Patrick","Meighan","Patrick Meighan","VP of Sales, VoC/E North America","Forsta","forsta.com","https://www.linkedin.com/in/patrick-meighan-30496a3","","VP","blitz"
"Alper","Yurder","Alper Yurder","Founder and Fractional CRO","Forte","fortegrowth.co","https://www.linkedin.com/in/alper-yurder","","CXO","blitz"
"Dan","Young","Dan Young","VP of Sales","Forterro","forterro.com","https://www.linkedin.com/in/dan-young-4a79b014","","VP","blitz"
"Ben","D.","Ben D.","Founder and CEO","FORTIFIED","fortified.com","https://www.linkedin.com/in/bendebow","","CXO","blitz"
"Mary-Katherine","Johnson","Mary-Katherine Johnson","VP of Sales","Fortress OS","fortresstech.io","https://www.linkedin.com/in/mary-katherinejohnson","","VP","blitz"
"Andrew","Kerr","Andrew Kerr","CEO","FortyAU","fortyau.com","https://www.linkedin.com/in/andrew-kerr-9152974","","CXO","blitz"
"Eric","Adolphe","Eric Adolphe","Founder & CEO","Forward Edge-AI","forwardedge.ai","https://www.linkedin.com/in/ericadolphe","","CXO","blitz"
"Steve","Nix","Steve Nix","CEO, Co-Founder","ForwardXP","forwardxp.com","https://www.linkedin.com/in/stevenix1","","CXO","blitz"
"Charles","Mindenhall","Charles Mindenhall","Chair and Co-founder","Fospha","fospha.com","https://www.linkedin.com/in/charlesmindenhall","","CXO","blitz"
"Sam","Carter","Sam Carter","CEO","Fospha","fospha.com","https://www.linkedin.com/in/sam-carter-36242756","","CXO","blitz"
"Tom","Sheepshanks","Tom Sheepshanks","Chief Revenue Officer (CRO)","Fospha","fospha.com","https://www.linkedin.com/in/tom-sheepshanks","","CXO","blitz"
"Aaron","Williams","Aaron Williams","CEO","FOSSA","fossa.com","https://www.linkedin.com/in/aaronwilliams","","CXO","blitz"
"Kevin","Wang (FOSSA)","Kevin Wang (FOSSA)","Founder & Chairman","FOSSA","fossa.com","https://www.linkedin.com/in/kevinxizhao","","CXO","blitz"
"Kyle","Fossen","Kyle Fossen","VP of Sales","Foundant","foundant.com","https://www.linkedin.com/in/kylejfossen","","VP","blitz"
"Vivek","Rao","Vivek Rao","Co-Founder and Chief Executive Officer","Foundation AI","foundationai.com","https://www.linkedin.com/in/vivekrao-foundationai","","CXO","blitz"
"Alon","Nafta","Alon Nafta","CEO and Co-Founder","Foundational","foundational.io","https://www.linkedin.com/in/nafta","","CXO","blitz"
"Mark","Gilreath","Mark Gilreath","Founder, Investor","Founders Fuel","foundersfuel.com","https://www.linkedin.com/in/markgilreath","","CXO","blitz"
"Vincent","Serpico","Vincent Serpico","Founder / Strategic Advisor","Founders Workshop","foundersworkshop.com","https://www.linkedin.com/in/vincentserpico","","CXO","blitz"
"Regi","Roy","Regi Roy","Chief Executive Officer | Enabling AI Transformations","Founding Minds Software","foundingminds.com","https://www.linkedin.com/in/regiroy","","CXO","blitz"
"Warren","Cowan","Warren Cowan","CEO & Founder","FoundIt!","foundit.com","https://www.linkedin.com/in/warrencowan","","CXO","blitz"
"Jody","Madden","Jody Madden","CEO","Foundry","foundry.com","https://www.linkedin.com/in/jodymadden","","CXO","blitz"
"Alex","Foulds","Alex Foulds","Chief Revenue Officer","Foundry","foundry.com","https://www.linkedin.com/in/alex-foulds-1421139","","CXO","blitz"
"Michael","Ephraim","Michael Ephraim","VP of Sales - Media & Entertainment","Foundry","foundry.com","https://www.linkedin.com/in/mike-ephraim-b716a02","","VP","blitz"
"David","Steinberg","David Steinberg","CEO / Founder","Foureyes","foureyes.io","https://www.linkedin.com/in/david-l-steinberg","","CXO","blitz"
"Matthieu","Chartier","Matthieu Chartier","Founder and CEO","Fourwaves","fourwaves.com","https://www.linkedin.com/in/matthieu-chartier","","CXO","blitz"
"Fengbo","Ren","Fengbo Ren","Founder and CEO","Fovus","fovus.co","https://www.linkedin.com/in/fengbo-ren-b8062312","","CXO","blitz"
"Xuanyi","C.","Xuanyi C.","Co-Founder and CTO","Fovus","fovus.co","https://www.linkedin.com/in/xuanyichen","","CXO","blitz"
"Rob","Volk","Rob Volk","Founder & CEO","Foxbox Digital","foxbox.com","https://www.linkedin.com/in/robvolk","","CXO","blitz"
"Jay","Harkrider","Jay Harkrider","Co-Founder and Executive Chairman","Foxen","foxen.com","https://www.linkedin.com/in/jay-harkrider-35233a5","","CXO","blitz"
